"f2f v [um/sec] #1","f2f v [um/sec] #2","f2f v [um/sec] #3","f2f v [um/sec] #4","f2f v [um/sec] #5","f2f v [um/sec] #6","f2f v [um/sec] #7","f2f v [um/sec] #8","f2f v [um/sec] #9","f2f v [um/sec] #10","f2f v [um/sec] #11","f2f v [um/sec] #12","f2f v [um/sec] #13","f2f v [um/sec] #14","f2f v [um/sec] #15"
4.,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-4.
0.,0.,0.,0.,0.,0.,0.,0.,0.,-4.,0.,0.,0.,0.,0.
0.,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,"",0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,-4.,-4.,0.,"",0.,0.,0.
4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,"",0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,-4.,0.,"",-4.,0.,0.
0.,0.,0.,0.,0.,0.,4.,0.,0.,-4.,0.,"",0.,"",0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,-4.,"","",0.,"",0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,"","","",0.,"",0.
0.,0.,0.,0.,0.,-4.,-4.,0.,0.,"","","",0.,"",0.
0.,4.,0.,4.,0.,0.,0.,0.,0.,"","","",4.,"",0.
0.,0.,0.,0.,0.,0.,4.,0.,0.,"","","",0.,"",0.
0.,0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
4.,4.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
0.,0.,0.,0.,"",0.,"",0.,0.,"","","",-4.,"",0.
"",0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,0.,"",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",4.,0.,"","",0.,"",-4.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",0.
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",4.,0.,"","",0.,"",0.,0.,"","","",-4.,"",""
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",0.,0.,"","",0.,"",-4.,0.,"","","",0.,"",""
"",0.,0.,"","",0.,"",0.,0.,"","","",4.,"",""
"",0.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",4.,0.,"","",0.,"",0.,0.,"","","",0.,"",""
"",0.,0.,"","",0.,"",4.,0.,"","","",0.,"",""
