"pTime [sec] #1","pTime [sec] #2","pTime [sec] #3","pTime [sec] #4","pTime [sec] #5","pTime [sec] #6","pTime [sec] #7","pTime [sec] #8","pTime [sec] #9","pTime [sec] #10","pTime [sec] #11","pTime [sec] #12","pTime [sec] #13","pTime [sec] #14","pTime [sec] #15","pTime [sec] #16","pTime [sec] #17","pTime [sec] #18","pTime [sec] #19","pTime [sec] #20","pTime [sec] #21","pTime [sec] #22","pTime [sec] #23","pTime [sec] #24","pTime [sec] #25","pTime [sec] #26","pTime [sec] #27","pTime [sec] #28","pTime [sec] #29","pTime [sec] #30","pTime [sec] #31","pTime [sec] #32","pTime [sec] #33","pTime [sec] #34","pTime [sec] #35","pTime [sec] #36"
0.4,3.,0.2,0.2,9.,0.8,3.,0.2,3.4000000000000004,0.8,5.6000000000000005,39.,0.8,3.,12.8,0.2,1.2,5.,0.2,18.8,2.,4.,1.6,4.,0.2,3.8000000000000003,1.2,4.2,2.8000000000000003,9.200000000000001,1.8,8.8,5.4,0.4,0.8,7.6000000000000005
0.8,3.,0.2,1.8,0.4,0.4,2.2,3.8000000000000003,4.2,4.,0.4,"",3.4000000000000004,1.,0.6,0.2,0.6,31.200000000000003,0.2,3.4000000000000004,"",0.4,1.4000000000000001,"",0.6,0.2,"",9.200000000000001,1.2,"",0.6,0.2,"",0.2,"",1.4000000000000001
1.2,0.4,0.2,1.6,2.6,0.6,16.2,9.,10.4,0.2,1.,"",1.4000000000000001,"",1.,0.2,0.2,"",1.8,8.200000000000001,"",0.2,1.8,"",0.6,"","",0.2,"","",0.6,"","",4.6000000000000005,"",4.6000000000000005
0.6,"",0.2,0.4,"",0.2,0.2,0.2,1.2,4.6000000000000005,6.2,"",1.2,"",2.,"","","","","","",15.600000000000001,1.8,"",0.4,"","","","","","","","",2.6,"",""
0.8,"",0.4,0.2,"",0.2,"",2.,0.6,1.6,9.4,"",1.,"",1.,"","","","","","","",0.4,"",0.8,"","","","","","","","",1.,"",""
1.4000000000000001,"",0.2,15.,"",0.2,"",11.600000000000001,1.,2.6,"","",1.2,"",0.6,"","","","","","","",0.8,"",1.2,"","","","","","","","",6.,"",""
0.4,"",0.4,2.,"",0.2,"",0.6,3.2,0.8,"","",1.8,"",1.8,"","","","","","","",4.8,"",1.8,"","","","","","","","",0.2,"",""
0.4,"",0.4,0.4,"",0.2,"",8.200000000000001,0.4,1.6,"","",2.4,"",1.2,"","","","","","","",0.8,"",1.6,"","","","","","","","",0.6,"",""
0.2,"",0.2,"","",0.2,"",2.,4.6000000000000005,8.8,"","",0.6,"",1.,"","","","","","","",2.4,"",9.,"","","","","","","","",17.8,"",""
0.6,"",0.6,"","",0.2,"","",0.2,0.8,"","",0.6,"",0.4,"","","","","","","",1.,"","","","","","","","","","","","",""
0.8,"",0.2,"","",0.4,"","",3.4000000000000004,0.6,"","",1.,"",0.2,"","","","","","","",0.6,"","","","","","","","","","","","",""
1.6,"",0.2,"","",0.4,"","",4.6000000000000005,0.4,"","",1.,"",0.2,"","","","","","","",0.6,"","","","","","","","","","","","",""
1.2,"",0.2,"","",0.2,"","","",0.4,"","",3.2,"",1.8,"","","","","","","",0.4,"","","","","","","","","","","","",""
2.,"",0.4,"","",0.2,"","","",0.4,"","",2.2,"",0.2,"","","","","","","",0.4,"","","","","","","","","","","","",""
1.6,"",0.2,"","",0.2,"","","",0.4,"","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
9.6,"",0.2,"","",0.2,"","","",0.2,"","","","","","","","","","","","",1.6,"","","","","","","","","","","","",""
6.2,"",0.2,"","",0.2,"","","",0.4,"","","","","","","","","","","","",0.6,"","","","","","","","","","","","",""
0.8,"",0.2,"","",0.2,"","","",0.2,"","","","","","","","","","","","",0.4,"","","","","","","","","","","","",""
2.2,"",0.2,"","",0.2,"","","",0.2,"","","","","","","","","","","","",0.4,"","","","","","","","","","","","",""
3.,"",0.2,"","",0.4,"","","",0.2,"","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","",0.2,"","","","","","","","","","","","",0.6,"","","","","","","","","","","","",""
"","",0.4,"","",0.2,"","","",0.2,"","","","","","","","","","","","",0.4,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","",0.2,"","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","",0.4,"","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","",1.6,"","","",0.2,"","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.6,"","",0.2,"","","",0.2,"","","","","","","","","","","","",0.4,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","",0.6,"","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","","","","","","","","","","","","","","",1.8,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","","","","","","","","","","","","","","",0.6,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","","","","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","",0.6,"","","","","","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","",0.2,"","","","","","","","","","","","","","","","",0.2,"","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
