"pTime [sec] #1","pTime [sec] #2","pTime [sec] #3","pTime [sec] #4","pTime [sec] #5","pTime [sec] #6","pTime [sec] #7","pTime [sec] #8","pTime [sec] #9","pTime [sec] #10","pTime [sec] #11","pTime [sec] #12","pTime [sec] #13","pTime [sec] #14","pTime [sec] #15","pTime [sec] #16","pTime [sec] #17"
13.200000000000001,10.,1.4000000000000001,7.800000000000001,11.,6.2,2.4,2.8000000000000003,0.6,0.2,3.4000000000000004,1.8,0.2,4.6000000000000005,0.2,0.2,0.2
0.4,1.,7.4,1.,0.2,"",12.600000000000001,"","",0.2,0.8,1.2,0.4,"",1.,0.2,0.4
1.8,28.200000000000003,"","",11.,"",0.4,"","",0.2,0.6,4.2,0.4,"",0.2,0.2,""
20.6,"","","",10.200000000000001,"",1.,"","",0.2,0.4,2.6,0.4,"",0.2,0.2,""
2.,"","","",4.8,"",6.,"","",0.2,0.6,2.,0.4,"",0.2,0.2,""
"","","","","","","","","",0.2,0.2,0.4,0.2,"",0.2,0.2,""
"","","","","","","","","",0.6,1.8,1.4000000000000001,0.2,"",0.2,0.2,""
"","","","","","","","","",0.4,2.,2.4,0.2,"",0.4,0.2,""
"","","","","","","","","",0.2,0.4,1.6,0.6,"",0.2,0.2,""
"","","","","","","","","",0.2,"",2.2,0.4,"",0.2,0.2,""
"","","","","","","","","",0.4,"",0.6,0.2,"",0.4,0.4,""
"","","","","","","","","",0.4,"",1.4000000000000001,0.6,"",1.4000000000000001,0.6,""
"","","","","","","","","",0.2,"",13.200000000000001,0.4,"",0.2,0.2,""
"","","","","","","","","",0.4,"","",0.4,"",0.2,0.4,""
"","","","","","","","","",0.2,"","",0.6,"",0.2,0.2,""
"","","","","","","","","",0.2,"","",0.2,"","",0.2,""
"","","","","","","","","",0.2,"","",0.2,"","",0.2,""
"","","","","","","","","",0.2,"","",0.2,"","",0.2,""
"","","","","","","","","",0.2,"","",0.4,"","","",""
"","","","","","","","","",0.4,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.4,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.4,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.2,"","","",""
"","","","","","","","","",0.2,"","",0.4,"","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.6,"","","","","","",""
"","","","","","","","","",0.2,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.2,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.2,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.8,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",1.,"","","","","","",""
"","","","","","","","","",0.4,"","","","","","",""
"","","","","","","","","",0.8,"","","","","","",""
