"Negative","Stationary","Positive"
-0.192,-0.063,0.343
-0.27,0.036000000000000004,0.343
-0.17,-0.04,2.924
-0.8,0.061000000000000006,0.101
"",0.,2.629
"",-0.022000000000000002,0.792
"",0.,0.137
"",0.,0.19
"",0.038,0.432
"",0.,3.111
"",0.,1.143
"",0.,1.8820000000000001
"",0.,0.767
"",0.,0.19
"",-0.022000000000000002,0.222
"",0.,0.19
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
