"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.025","flux #/sec negative= 0.025","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,0.,0.021,5.,50.0578,7.6
2,0.,0.,3.,112.6986,13.066666666666668
3,0.,0.08900000000000001,2.,53.0229,4.4
4,0.,0.08900000000000001,2.,43.5471,4.4
5,0.,0.,5.,46.8888,7.4399999999999995
6,-1.,-0.24200000000000002,1.,56.6753,6.2
7,0.,0.,5.,51.338300000000004,4.48
8,0.,0.,1.,42.6182,2.8000000000000003
9,0.,0.,1.,78.2632,0.6
10,1.,2.37,48.,57.8877,0.3250000000000001
11,0.,0.,9.,66.3713,1.1333333333333335
12,0.,-0.043000000000000003,13.,116.248,2.6923076923076925
13,1.,1.788,32.,50.1101,0.29374999999999996
14,0.,0.,1.,38.894200000000005,4.6000000000000005
15,-1.,-1.796,15.,49.5529,0.36000000000000004
16,1.,2.275,18.,89.6002,0.24444444444444446
17,1.,3.077,2.,88.41680000000001,0.30000000000000004
