"pTime [sec] #1","pTime [sec] #2","pTime [sec] #3","pTime [sec] #4","pTime [sec] #5","pTime [sec] #6","pTime [sec] #7","pTime [sec] #8","pTime [sec] #9","pTime [sec] #10","pTime [sec] #11","pTime [sec] #12","pTime [sec] #13","pTime [sec] #14","pTime [sec] #15"
0.8,0.2,23.6,2.2,2.6,2.,1.4000000000000001,10.6,0.8,0.2,1.6,0.6,1.2,1.4000000000000001,10.8
1.6,1.6,4.4,2.4,"",26.6,0.4,1.6,16.2,0.4,"","",0.8,"",""
0.2,0.4,2.4,"","","",0.2,0.6,"",0.2,"","",0.6,"",""
"",0.6,1.2,"","","","",4.,"","","","",8.6,"",""
"",0.6,6.6000000000000005,"","","","","","","","","",0.6,"",""
"",0.6,"","","","","","","","","","",2.2,"",""
"",2.2,"","","","","","","","","","","","",""
"",0.6,"","","","","","","","","","","","",""
"",0.4,"","","","","","","","","","","","",""
"",0.6,"","","","","","","","","","","","",""
"",0.6,"","","","","","","","","","","","",""
"",0.4,"","","","","","","","","","","","",""
"",0.4,"","","","","","","","","","","","",""
"",1.,"","","","","","","","","","","","",""
"",0.6,"","","","","","","","","","","","",""
"",0.8,"","","","","","","","","","","","",""
"",0.8,"","","","","","","","","","","","",""
"",2.2,"","","","","","","","","","","","",""
"",0.8,"","","","","","","","","","","","",""
"",1.,"","","","","","","","","","","","",""
"",4.4,"","","","","","","","","","","","",""
"",2.,"","","","","","","","","","","","",""
"",0.2,"","","","","","","","","","","","",""
"",0.4,"","","","","","","","","","","","",""
"",0.2,"","","","","","","","","","","","",""
"",0.2,"","","","","","","","","","","","",""
"",0.2,"","","","","","","","","","","","",""
"",0.4,"","","","","","","","","","","","",""
"",0.8,"","","","","","","","","","","","",""
"",2.2,"","","","","","","","","","","","",""
"",1.4000000000000001,"","","","","","","","","","","","",""
"",1.2,"","","","","","","","","","","","",""
"",3.,"","","","","","","","","","","","",""
