"pTime [sec] #1","pTime [sec] #2","pTime [sec] #3","pTime [sec] #4","pTime [sec] #5","pTime [sec] #6","pTime [sec] #7","pTime [sec] #8","pTime [sec] #9","pTime [sec] #10","pTime [sec] #11","pTime [sec] #12","pTime [sec] #13","pTime [sec] #14","pTime [sec] #15","pTime [sec] #16","pTime [sec] #17","pTime [sec] #18","pTime [sec] #19","pTime [sec] #20","pTime [sec] #21","pTime [sec] #22","pTime [sec] #23","pTime [sec] #24","pTime [sec] #25","pTime [sec] #26","pTime [sec] #27","pTime [sec] #28","pTime [sec] #29"
1.2,9.,7.800000000000001,2.4,5.2,4.4,0.4,0.2,22.400000000000002,16.2,2.6,3.4000000000000004,14.600000000000001,2.6,1.2,14.8,4.8,0.8,2.4,2.4,1.2,2.2,0.2,0.6,0.2,0.4,0.2,2.2,0.4
1.6,1.8,4.8,1.2,3.,3.4000000000000004,0.2,0.6,17.,2.8000000000000003,2.,1.2,1.6,0.8,3.8000000000000003,7.2,6.800000000000001,"",17.400000000000002,4.2,0.4,0.4,3.,"",2.2,4.2,0.4,1.6,0.2
10.6,0.2,0.4,1.8,1.,"",0.2,0.2,"",1.,"",5.,0.6,0.6,"",0.6,3.,"",1.,9.4,0.2,4.6000000000000005,0.2,"","",13.4,0.8,"",1.2
1.2,0.2,"",4.6000000000000005,10.6,"",0.8,"","",12.,"","","",0.2,"",4.8,2.8000000000000003,"",1.6,0.4,0.2,"","","","",0.8,4.6000000000000005,"",""
4.8,0.2,"",8.200000000000001,0.6,"",0.6,"","","","","","",0.2,"",2.8000000000000003,0.6,"",0.8,1.4000000000000001,0.2,"","","","",1.4000000000000001,0.4,"",""
"",0.2,"",0.8,5.,"",0.4,"","","","","","",0.4,"",0.4,1.,"",1.4000000000000001,2.,"","","","","",0.4,0.4,"",""
"",0.2,"",0.2,2.,"",0.2,"","","","","","",2.8000000000000003,"",5.4,0.2,"",0.2,1.,"","","","","",1.4000000000000001,0.4,"",""
"",2.8000000000000003,"",0.4,0.4,"",0.2,"","","","","","",1.2,"","",0.4,"","","","","","","","","",9.200000000000001,"",""
"",1.8,"",15.200000000000001,5.800000000000001,"",0.2,"","","","","","",0.4,"","",0.2,"","","","","","","","","","","",""
"",1.,"",1.2,3.8000000000000003,"",0.8,"","","","","","",0.6,"","",0.4,"","","","","","","","","","","",""
"",0.2,"",1.4000000000000001,"","",0.6,"","","","","","","","","",2.,"","","","","","","","","","","",""
"",0.8,"","","","",0.4,"","","","","","","","","",1.,"","","","","","","","","","","",""
"",2.,"","","","",0.2,"","","","","","","","","",7.4,"","","","","","","","","","","",""
"",0.2,"","","","",0.2,"","","","","","","","","","","","","","","","","","","","","",""
"",0.4,"","","","",0.2,"","","","","","","","","","","","","","","","","","","","","",""
"",0.6,"","","","",0.4,"","","","","","","","","","","","","","","","","","","","","",""
"",0.2,"","","","",0.2,"","","","","","","","","","","","","","","","","","","","","",""
"",0.4,"","","","",0.2,"","","","","","","","","","","","","","","","","","","","","",""
"",0.2,"","","","",1.,"","","","","","","","","","","","","","","","","","","","","",""
"",0.2,"","","","",1.4000000000000001,"","","","","","","","","","","","","","","","","","","","","",""
"",0.2,"","","","",0.8,"","","","","","","","","","","","","","","","","","","","","",""
"",0.6,"","","","",0.6,"","","","","","","","","","","","","","","","","","","","","",""
"",0.4,"","","","",0.6,"","","","","","","","","","","","","","","","","","","","","",""
"",0.6,"","","","",0.8,"","","","","","","","","","","","","","","","","","","","","",""
"",0.2,"","","","",0.6,"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",12.200000000000001,"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",8.6,"","","","","","","","","","","","","","","","","","","","","",""
