"Negative","Stationary","Positive"
-0.381,0.,1.6280000000000001
-0.308,0.,2.04
-0.14300000000000002,-0.05,2.442
-0.556,-0.08800000000000001,0.8180000000000001
-0.34800000000000003,0.054,0.615
-2.286,0.,3.733
-1.6,0.,0.6920000000000001
-0.522,0.067,1.867
-0.18000000000000002,0.,2.8000000000000003
-0.12100000000000001,0.,2.769
-0.133,0.,0.12100000000000001
"",0.,0.75
"",0.,0.656
"",-0.07300000000000001,1.3780000000000001
"",0.,1.7590000000000001
"","",2.5
"","",0.9780000000000001
"","",0.64
"","",4.
"","",5.333
"","",0.598
"","",0.65
"","",0.615
"","",4.
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
