"Negative","Stationary","Positive"
-0.444,-0.057,0.234
-0.741,0.,0.93
-0.61,-0.04,0.299
-0.108,0.044000000000000004,0.8570000000000001
"",0.059000000000000004,2.2030000000000003
"",0.,2.
"",0.,0.41900000000000004
"",0.063,1.
"",0.1,0.404
"",0.,1.9200000000000002
"",0.,2.6670000000000003
"",0.,0.10300000000000001
"","",0.865
"","",0.4
"","",1.9000000000000001
"","",0.379
"","",0.932
"","",1.455
"","",0.457
"","",0.12300000000000001
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
