"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,0.,-0.02,10.,65.2128,3.72
2,0.,0.,7.,72.7149,5.485714285714286
3,0.,0.02,10.,96.3989,3.7
4,0.,0.024,10.,57.6895,3.1000000000000005
5,0.,0.,2.,70.0858,2.2
6,0.,0.,1.,73.7495,1.
7,0.,-0.051000000000000004,4.,75.5355,3.8
8,0.,-0.021,6.,57.9532,6.266666666666666
9,0.,0.,3.,75.973,3.866666666666667
10,0.,0.,1.,67.7243,4.8
11,0.,0.,1.,57.644800000000004,1.4000000000000001
12,-1.,-0.364,1.,67.0665,2.
13,0.,0.,7.,60.569900000000004,0.7714285714285715
14,0.,-0.05,2.,51.114000000000004,7.9
15,0.,-0.012,4.,53.5777,4.1
16,0.,0.,1.,58.415600000000005,2.6
17,0.,0.,5.,54.2896,1.92
18,-1.,-0.16,1.,39.965700000000005,4.8
19,0.,0.,1.,47.849000000000004,1.4000000000000001
20,1.,0.4,1.,52.731700000000004,1.8
