"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20"
0.4,64.,0.4,75.2,0.4,100.80000000000001,0.4,152.,0.6000000000000001,20.,0.6000000000000001,41.6,0.6000000000000001,71.2,0.6000000000000001,95.2,0.8,116.80000000000001,4.6000000000000005,44.800000000000004,12.8,44.,5.6000000000000005,111.2,10.,112.80000000000001,12.600000000000001,40.,22.400000000000002,112.80000000000001,24.200000000000003,116.80000000000001,29.,66.4,34.6,39.2,37.800000000000004,129.6,21.8,65.60000000000001
0.6000000000000001,64.,0.6000000000000001,75.2,0.6000000000000001,100.80000000000001,0.6000000000000001,152.,0.8,19.200000000000003,0.8,41.6,0.8,71.2,0.8,95.2,1.,116.80000000000001,4.800000000000001,44.800000000000004,13.,44.,5.800000000000001,110.4,10.200000000000001,112.80000000000001,12.8,40.,22.6,112.80000000000001,24.400000000000002,116.80000000000001,29.200000000000003,66.4,34.800000000000004,38.400000000000006,38.,129.6,22.,66.4
0.8,64.,0.8,75.2,0.8,100.80000000000001,0.8,152.,1.,19.200000000000003,1.,41.6,1.,71.2,1.,95.2,1.2000000000000002,116.80000000000001,5.,44.800000000000004,13.200000000000001,44.,6.,110.4,10.4,112.80000000000001,13.,40.,22.8,112.80000000000001,24.6,116.80000000000001,29.400000000000002,66.4,35.,38.400000000000006,38.2,129.6,22.200000000000003,66.4
1.,64.,1.,75.2,1.,100.80000000000001,1.,152.,1.2000000000000002,19.200000000000003,1.2000000000000002,41.6,1.2000000000000002,71.2,1.2000000000000002,94.4,1.4000000000000001,116.80000000000001,5.2,44.800000000000004,13.4,44.,6.2,110.4,10.600000000000001,112.80000000000001,13.200000000000001,40.,23.,112.80000000000001,24.8,116.80000000000001,29.6,66.4,35.2,38.400000000000006,38.400000000000006,129.6,22.400000000000002,66.4
1.2000000000000002,64.,1.2000000000000002,75.2,1.2000000000000002,100.80000000000001,1.2000000000000002,152.,1.4000000000000001,19.200000000000003,1.4000000000000001,41.6,1.4000000000000001,71.2,1.4000000000000001,94.4,1.6,116.80000000000001,5.4,44.800000000000004,13.600000000000001,44.,6.4,110.4,10.8,112.80000000000001,13.4,40.,23.200000000000003,112.80000000000001,25.,116.80000000000001,29.8,66.4,35.4,38.400000000000006,38.6,129.6,22.6,66.4
1.4000000000000001,64.,1.4000000000000001,75.2,1.4000000000000001,100.80000000000001,1.4000000000000001,152.,1.6,19.200000000000003,1.6,41.6,1.6,71.2,1.6,94.4,1.8,116.80000000000001,5.6000000000000005,44.800000000000004,13.8,44.,6.6000000000000005,110.4,11.,112.80000000000001,13.600000000000001,40.,23.400000000000002,112.80000000000001,25.200000000000003,116.80000000000001,30.,66.4,35.6,38.400000000000006,38.800000000000004,129.6,22.8,66.4
1.6,64.,1.6,75.2,1.6,100.80000000000001,1.6,152.,1.8,19.200000000000003,"","",1.8,71.2,1.8,94.4,2.,116.80000000000001,5.800000000000001,44.800000000000004,14.,44.,6.800000000000001,110.4,11.200000000000001,112.80000000000001,13.8,40.,23.6,112.80000000000001,25.400000000000002,116.80000000000001,30.200000000000003,66.4,35.800000000000004,38.400000000000006,39.,129.6,23.,66.4
1.8,64.,1.8,75.2,1.8,100.80000000000001,1.8,152.,2.,19.200000000000003,"","",2.,71.2,2.,94.4,2.2,116.80000000000001,6.,44.800000000000004,14.200000000000001,44.,7.,110.4,11.4,112.80000000000001,14.,40.,23.8,112.80000000000001,25.6,116.80000000000001,30.400000000000002,66.4,36.,38.400000000000006,39.2,129.6,23.200000000000003,66.4
2.,64.,2.,75.2,2.,100.80000000000001,2.,152.,2.2,19.200000000000003,"","",2.2,71.2,2.2,94.4,2.4000000000000004,116.80000000000001,6.2,44.800000000000004,"","",7.2,110.4,11.600000000000001,112.,14.200000000000001,40.,24.,112.80000000000001,25.8,116.80000000000001,30.6,66.4,36.2,38.400000000000006,"","",23.400000000000002,66.4
2.2,64.,2.2,75.2,2.2,100.80000000000001,2.2,152.,2.4000000000000004,19.200000000000003,"","",2.4000000000000004,71.2,2.4000000000000004,94.4,2.6,116.80000000000001,6.4,44.800000000000004,"","",7.4,110.4,11.8,112.,14.4,40.,24.200000000000003,112.80000000000001,26.,116.80000000000001,30.8,66.4,36.4,38.400000000000006,"","",23.6,66.4
