"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35","t [pixel] #36","x [pixel] #36"
0.4,14.4,0.4,36.,0.4,40.,0.4,52.,27.400000000000002,56.,0.4,93.60000000000001,0.4,157.60000000000002,0.4,170.4,0.4,196.8,0.6000000000000001,56.,0.6000000000000001,175.20000000000002,0.6000000000000001,181.60000000000002,0.8,116.80000000000001,0.8,178.4,2.,0.8,33.,20.,37.,30.400000000000002,2.,40.,3.,8.8,8.8,15.200000000000001,6.6000000000000005,15.200000000000001,5.2,30.400000000000002,5.4,46.400000000000006,12.200000000000001,175.20000000000002,14.,208.8,35.4,204.8,14.8,202.4,17.400000000000002,194.4,17.6,172.,25.,186.4,29.,116.,30.6,174.4,34.2,0.8,3.4000000000000004,96.80000000000001,22.8,156.,25.6,160.8
0.6000000000000001,14.4,0.6000000000000001,36.,0.6000000000000001,40.800000000000004,0.6000000000000001,52.,27.6,55.2,0.6000000000000001,94.4,0.6000000000000001,157.60000000000002,0.6000000000000001,170.4,0.6000000000000001,196.8,0.8,56.,0.8,175.20000000000002,0.8,181.60000000000002,1.,117.60000000000001,1.,178.4,2.2,0.8,33.2,20.8,37.2,30.400000000000002,2.2,40.,3.2,9.600000000000001,9.,15.200000000000001,6.800000000000001,15.200000000000001,5.4,30.400000000000002,5.6000000000000005,46.400000000000006,12.4,175.20000000000002,14.200000000000001,208.8,35.6,204.8,15.,202.4,17.6,194.4,17.8,172.,25.200000000000003,186.4,29.200000000000003,116.,30.8,173.60000000000002,34.4,0.8,3.6,96.,23.,155.20000000000002,25.8,160.
0.8,14.4,0.8,36.,0.8,40.800000000000004,0.8,52.800000000000004,27.8,55.2,0.8,95.2,0.8,157.60000000000002,0.8,171.20000000000002,0.8,196.8,1.,56.,1.,175.20000000000002,1.,181.60000000000002,1.2000000000000002,117.60000000000001,1.2000000000000002,178.4,2.4000000000000004,0.8,33.4,22.400000000000002,37.4,30.400000000000002,2.4000000000000004,40.,3.4000000000000004,9.600000000000001,9.200000000000001,15.200000000000001,7.,15.200000000000001,5.6000000000000005,30.400000000000002,5.800000000000001,46.400000000000006,12.600000000000001,175.20000000000002,14.4,208.,35.800000000000004,204.8,15.200000000000001,202.4,17.8,194.4,18.,172.,25.400000000000002,186.4,29.400000000000002,116.,31.,173.60000000000002,34.6,0.8,3.8000000000000003,95.2,23.200000000000003,155.20000000000002,26.,159.20000000000002
1.,15.200000000000001,1.,36.,1.,41.6,1.,52.800000000000004,28.,55.2,1.,95.2,1.,157.60000000000002,1.,171.20000000000002,1.,196.8,1.2000000000000002,56.,1.2000000000000002,175.20000000000002,1.2000000000000002,181.60000000000002,1.4000000000000001,117.60000000000001,1.4000000000000001,178.4,2.6,0.8,33.6,22.400000000000002,37.6,30.400000000000002,2.6,40.,3.6,10.4,9.4,15.200000000000001,7.2,15.200000000000001,5.800000000000001,30.400000000000002,6.,46.400000000000006,12.8,175.20000000000002,14.600000000000001,208.,36.,204.8,15.4,202.4,18.,194.4,18.2,172.,25.6,186.4,29.6,116.,31.200000000000003,173.60000000000002,34.800000000000004,0.8,4.,95.2,23.400000000000002,155.20000000000002,26.200000000000003,159.20000000000002
1.2000000000000002,15.200000000000001,1.2000000000000002,36.,1.2000000000000002,42.400000000000006,1.2000000000000002,52.800000000000004,28.200000000000003,55.2,1.2000000000000002,95.2,1.2000000000000002,157.60000000000002,1.2000000000000002,171.20000000000002,1.2000000000000002,196.8,1.4000000000000001,56.,1.4000000000000001,175.20000000000002,1.4000000000000001,181.60000000000002,1.6,117.60000000000001,1.6,178.4,2.8000000000000003,0.8,33.800000000000004,23.200000000000003,37.800000000000004,30.400000000000002,2.8000000000000003,40.,3.8000000000000003,11.200000000000001,9.600000000000001,15.200000000000001,7.4,15.200000000000001,6.,30.400000000000002,6.2,46.400000000000006,13.,175.20000000000002,14.8,208.,36.2,204.8,15.600000000000001,202.4,18.2,194.4,18.400000000000002,172.,25.8,186.4,29.8,116.,31.400000000000002,173.60000000000002,35.,0.8,4.2,95.2,23.6,155.20000000000002,26.400000000000002,159.20000000000002
1.4000000000000001,15.200000000000001,1.4000000000000001,36.,1.4000000000000001,42.400000000000006,1.4000000000000001,52.800000000000004,28.400000000000002,55.2,1.4000000000000001,95.2,1.4000000000000001,157.60000000000002,1.4000000000000001,171.20000000000002,1.4000000000000001,196.8,1.6,56.800000000000004,1.6,175.20000000000002,1.6,181.60000000000002,1.8,117.60000000000001,1.8,178.4,3.,0.8,34.,23.200000000000003,38.,30.400000000000002,3.,40.,4.,12.,9.8,15.200000000000001,7.6000000000000005,15.200000000000001,6.2,30.400000000000002,6.4,46.400000000000006,13.200000000000001,175.20000000000002,15.,208.,36.4,204.8,15.8,202.4,18.400000000000002,194.4,18.6,172.,26.,186.4,30.,116.,31.6,173.60000000000002,35.2,0.8,4.4,96.,23.8,155.20000000000002,26.6,159.20000000000002
1.6,15.200000000000001,1.6,36.,1.6,43.2,1.6,52.800000000000004,28.6,55.2,1.6,95.2,1.6,157.60000000000002,1.6,171.20000000000002,1.6,196.8,1.8,56.800000000000004,1.8,175.20000000000002,1.8,181.60000000000002,2.,118.4,2.,178.4,3.2,0.8,34.2,24.,38.2,30.400000000000002,3.2,40.,4.2,12.,10.,15.200000000000001,7.800000000000001,15.200000000000001,6.4,30.400000000000002,6.6000000000000005,46.400000000000006,13.4,175.20000000000002,15.200000000000001,207.20000000000002,36.6,204.8,16.,202.4,18.6,194.4,18.8,172.,26.200000000000003,186.4,30.200000000000003,116.,31.8,173.60000000000002,35.4,0.8,4.6000000000000005,96.,"","",26.8,159.20000000000002
1.8,15.200000000000001,1.8,36.,1.8,44.,1.8,52.800000000000004,28.8,55.2,1.8,96.,1.8,157.60000000000002,1.8,171.20000000000002,1.8,196.8,2.,56.800000000000004,2.,175.20000000000002,2.,181.60000000000002,2.2,118.4,2.2,178.4,3.4000000000000004,0.8,34.4,24.,38.400000000000006,31.200000000000003,3.4000000000000004,40.,4.4,14.4,10.200000000000001,15.200000000000001,8.,15.200000000000001,6.6000000000000005,30.400000000000002,6.800000000000001,46.400000000000006,13.600000000000001,175.20000000000002,15.4,207.20000000000002,36.800000000000004,204.8,"","",18.8,194.4,19.,172.,26.400000000000002,186.4,30.400000000000002,116.,32.,173.60000000000002,35.6,0.8,4.800000000000001,95.2,"","",27.,159.20000000000002
2.,16.,2.,36.,2.,44.,2.,52.800000000000004,29.,55.2,2.,96.,2.,157.60000000000002,2.,171.20000000000002,2.,196.8,2.2,56.800000000000004,2.2,175.20000000000002,2.2,181.60000000000002,2.4000000000000004,118.4,2.4000000000000004,178.4,3.6,0.8,34.6,24.8,38.6,31.200000000000003,3.6,40.,4.6000000000000005,15.200000000000001,10.4,15.200000000000001,8.200000000000001,15.200000000000001,6.800000000000001,30.400000000000002,7.,46.400000000000006,13.8,175.20000000000002,15.600000000000001,207.20000000000002,37.,204.8,"","",19.,194.4,19.200000000000003,172.,26.6,186.4,30.6,116.,32.2,173.60000000000002,35.800000000000004,0.8,5.,95.2,"","",27.200000000000003,159.20000000000002
2.2,16.,2.2,36.,2.2,44.800000000000004,2.2,52.800000000000004,29.200000000000003,55.2,2.2,96.,2.2,157.60000000000002,2.2,171.20000000000002,2.2,196.8,2.4000000000000004,56.800000000000004,2.4000000000000004,175.20000000000002,2.4000000000000004,181.60000000000002,2.6,118.4,2.6,178.4,3.8000000000000003,0.8,34.800000000000004,25.6,38.800000000000004,31.200000000000003,3.8000000000000003,40.,4.800000000000001,15.200000000000001,10.600000000000001,15.200000000000001,8.4,15.200000000000001,7.,30.400000000000002,7.2,47.2,14.,175.20000000000002,15.8,207.20000000000002,37.2,204.8,"","",19.200000000000003,194.4,19.400000000000002,172.,26.8,186.4,30.8,116.,32.4,173.60000000000002,36.,0.8,5.2,95.2,"","",27.400000000000002,159.20000000000002
