"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29"
0.2,37.6,0.4,2.4000000000000004,0.4,43.2,0.4,48.,0.4,57.6,0.4,61.6,0.4,66.4,0.4,73.60000000000001,0.4,100.80000000000001,0.4,107.2,35.2,108.,0.6000000000000001,86.4,0.6000000000000001,93.60000000000001,1.,28.,1.4000000000000001,80.,2.4000000000000004,66.4,6.6000000000000005,73.60000000000001,10.,90.4,12.600000000000001,1.6,16.2,86.4,16.8,5.6000000000000005,23.8,80.80000000000001,25.8,33.6,33.4,90.4,37.4,88.80000000000001,15.4,40.800000000000004,21.400000000000002,49.6,35.4,40.,37.2,43.2
0.4,37.6,0.6000000000000001,2.4000000000000004,0.6000000000000001,43.2,0.6000000000000001,48.,0.6000000000000001,57.6,0.6000000000000001,61.6,0.6000000000000001,67.2,0.6000000000000001,73.60000000000001,0.6000000000000001,100.80000000000001,0.6000000000000001,107.2,35.4,108.,0.8,86.4,0.8,93.60000000000001,1.2000000000000002,28.,1.6,79.2,2.6,66.4,6.800000000000001,73.60000000000001,10.200000000000001,90.4,12.8,1.6,16.400000000000002,86.4,17.,5.6000000000000005,24.,80.80000000000001,26.,33.6,33.6,90.4,37.6,88.80000000000001,15.600000000000001,41.6,21.6,50.400000000000006,35.6,39.2,37.4,44.
0.6000000000000001,37.6,0.8,2.4000000000000004,0.8,43.2,0.8,48.,0.8,57.6,0.8,61.6,0.8,67.2,0.8,74.4,0.8,100.80000000000001,0.8,107.2,35.6,108.,1.,86.4,1.,93.60000000000001,1.4000000000000001,28.,1.8,79.2,2.8000000000000003,66.4,7.,73.60000000000001,10.4,90.4,13.,1.6,16.6,86.4,17.2,5.6000000000000005,24.200000000000003,80.80000000000001,26.200000000000003,32.800000000000004,33.800000000000004,90.4,37.800000000000004,89.60000000000001,15.8,41.6,21.8,51.2,35.800000000000004,38.400000000000006,37.6,44.
0.8,37.6,1.,2.4000000000000004,1.,43.2,1.,48.,1.,57.6,1.,61.6,1.,67.2,1.,74.4,1.,100.80000000000001,1.,107.2,35.800000000000004,108.,1.2000000000000002,86.4,1.2000000000000002,93.60000000000001,1.6,28.,2.,79.2,3.,66.4,7.2,73.60000000000001,10.600000000000001,90.4,13.200000000000001,1.6,16.8,86.4,17.400000000000002,5.6000000000000005,24.400000000000002,80.80000000000001,26.400000000000002,32.800000000000004,34.,90.4,38.,89.60000000000001,16.,41.6,22.,51.2,36.,38.400000000000006,37.800000000000004,44.
1.,37.6,1.2000000000000002,2.4000000000000004,1.2000000000000002,43.2,1.2000000000000002,48.,1.2000000000000002,57.6,1.2000000000000002,61.6,1.2000000000000002,68.,1.2000000000000002,74.4,1.2000000000000002,100.80000000000001,1.2000000000000002,107.2,36.,108.,1.4000000000000001,86.4,1.4000000000000001,93.60000000000001,1.8,28.,2.2,79.2,3.2,66.4,7.4,73.60000000000001,10.8,90.4,13.4,1.6,17.,86.4,17.6,5.6000000000000005,24.6,80.80000000000001,26.6,32.800000000000004,"","",38.2,89.60000000000001,16.2,42.400000000000006,22.200000000000003,52.,36.2,38.400000000000006,38.,44.800000000000004
1.2000000000000002,37.6,1.4000000000000001,2.4000000000000004,1.4000000000000001,43.2,1.4000000000000001,48.,1.4000000000000001,57.6,1.4000000000000001,61.6,1.4000000000000001,68.,1.4000000000000001,74.4,1.4000000000000001,100.80000000000001,1.4000000000000001,107.2,36.2,108.,1.6,86.4,1.6,93.60000000000001,2.,28.,2.4000000000000004,79.2,3.4000000000000004,66.4,7.6000000000000005,73.60000000000001,"","",13.600000000000001,1.6,17.2,86.4,17.8,5.6000000000000005,24.8,80.80000000000001,26.8,32.800000000000004,"","",38.400000000000006,89.60000000000001,16.400000000000002,42.400000000000006,22.400000000000002,52.,36.4,38.400000000000006,38.2,44.800000000000004
1.4000000000000001,37.6,1.6,2.4000000000000004,1.6,43.2,1.6,48.,1.6,57.6,1.6,61.6,1.6,68.8,1.6,73.60000000000001,1.6,100.80000000000001,1.6,107.2,36.4,108.,1.8,86.4,1.8,93.60000000000001,2.2,28.,2.6,79.2,3.6,66.4,7.800000000000001,73.60000000000001,"","",13.8,1.6,17.400000000000002,86.4,18.,5.6000000000000005,25.,80.80000000000001,27.,32.800000000000004,"","",38.6,89.60000000000001,16.6,42.400000000000006,22.6,52.,36.6,38.400000000000006,38.400000000000006,45.6
1.6,38.400000000000006,1.8,2.4000000000000004,1.8,43.2,1.8,48.,1.8,57.6,1.8,61.6,1.8,69.60000000000001,1.8,73.60000000000001,1.8,100.80000000000001,1.8,107.2,36.6,108.,2.,86.4,2.,93.60000000000001,2.4000000000000004,28.,2.8000000000000003,79.2,3.8000000000000003,66.4,8.,73.60000000000001,"","",14.,1.6,17.6,86.4,18.2,6.4,25.200000000000003,80.80000000000001,27.200000000000003,32.800000000000004,"","",38.800000000000004,89.60000000000001,16.8,42.400000000000006,22.8,52.800000000000004,36.800000000000004,38.400000000000006,38.6,46.400000000000006
1.8,38.400000000000006,2.,2.4000000000000004,2.,43.2,2.,48.,2.,57.6,2.,61.6,2.,70.4,"","",2.,100.80000000000001,2.,107.2,36.800000000000004,108.,2.2,86.4,2.2,93.60000000000001,2.6,28.,3.,80.,4.,66.4,8.200000000000001,73.60000000000001,"","",14.200000000000001,1.6,17.8,86.4,18.400000000000002,6.4,25.400000000000002,80.80000000000001,27.400000000000002,32.800000000000004,"","",39.,89.60000000000001,17.,42.400000000000006,23.,52.800000000000004,37.,38.400000000000006,38.800000000000004,47.2
2.,38.400000000000006,2.2,2.4000000000000004,2.2,43.2,2.2,48.,2.2,57.6,2.2,61.6,2.2,70.4,"","",2.2,100.80000000000001,2.2,107.2,37.,108.,2.4000000000000004,86.4,2.4000000000000004,93.60000000000001,2.8000000000000003,28.,3.2,80.,4.2,66.4,8.4,73.60000000000001,"","",14.4,1.6,18.,86.4,18.6,6.4,25.6,80.80000000000001,27.6,32.800000000000004,"","",39.2,89.60000000000001,17.2,42.400000000000006,23.200000000000003,52.800000000000004,37.2,38.400000000000006,39.,47.2
