"Negative","Stationary","Positive","Flux positive","Flux negative"
-0.364,-0.02,0.4,0.,0.
-0.16,0.,0.75,0.,0.
-2.222,0.02,0.505,0.1,0.
-0.381,0.024,0.167,0.05,0.
-0.308,0.,0.308,0.025,0.025
-0.14300000000000002,0.,1.6280000000000001,0.1,0.
-0.556,-0.051000000000000004,2.04,0.025,0.
-0.34800000000000003,-0.021,2.442,0.025,0.
-2.286,0.,0.8180000000000001,0.025,0.
-1.6,0.,0.615,"",""
-0.522,0.,3.733,"",""
-0.18000000000000002,0.,0.6920000000000001,"",""
-0.12100000000000001,-0.05,1.867,"",""
-0.133,-0.012,2.8000000000000003,"",""
-0.192,0.,2.769,"",""
-0.27,0.,0.12100000000000001,"",""
-0.17,0.,0.75,"",""
-0.8,0.,0.656,"",""
-0.24200000000000002,0.,1.3780000000000001,"",""
-1.796,-0.028,1.7590000000000001,"",""
-1.,-0.046,2.5,"",""
-0.8150000000000001,-0.047,0.9780000000000001,"",""
-0.333,0.,0.64,"",""
-0.267,0.,4.,"",""
-0.889,-0.053000000000000005,5.333,"",""
-1.333,0.,0.598,"",""
-0.8,-0.07300000000000001,0.65,"",""
-0.14800000000000002,0.,0.615,"",""
-1.103,0.,4.,"",""
-0.457,-0.05,0.343,"",""
-0.11900000000000001,-0.08800000000000001,0.343,"",""
-0.21100000000000002,0.054,2.924,"",""
-0.367,0.,0.101,"",""
-0.19,0.,2.629,"",""
-0.17400000000000002,0.067,0.792,"",""
-0.167,0.,0.137,"",""
-0.167,0.,0.19,"",""
-0.28600000000000003,0.,0.432,"",""
-0.129,0.,3.111,"",""
-0.17600000000000002,0.,1.143,"",""
-0.167,-0.07300000000000001,1.8820000000000001,"",""
-0.154,0.,0.767,"",""
-0.182,-0.063,0.19,"",""
-0.444,0.036000000000000004,0.222,"",""
-0.741,-0.04,0.19,"",""
-0.61,0.061000000000000006,2.37,"",""
-0.108,0.,1.788,"",""
"",-0.022000000000000002,2.275,"",""
"",0.,3.077,"",""
"",0.,1.622,"",""
"",0.038,3.3850000000000002,"",""
"",0.,0.21100000000000002,"",""
"",0.,1.5,"",""
"",0.,0.792,"",""
"",0.,0.28600000000000003,"",""
"",0.,0.667,"",""
"",-0.022000000000000002,0.222,"",""
"",0.,2.8000000000000003,"",""
"",0.021,0.5810000000000001,"",""
"",0.,1.286,"",""
"",0.08900000000000001,1.6360000000000001,"",""
"",0.08900000000000001,2.609,"",""
"",0.,1.429,"",""
"",0.,2.5,"",""
"",0.,1.1500000000000001,"",""
"",0.,1.4380000000000002,"",""
"",0.,1.333,"",""
"",-0.043000000000000003,3.2,"",""
"",0.,2.9570000000000003,"",""
"",0.,1.5,"",""
"",0.,2.241,"",""
"",-0.051000000000000004,1.689,"",""
"",0.,4.,"",""
"",0.,1.25,"",""
"",-0.067,0.727,"",""
"",0.,0.231,"",""
"",0.,2.9090000000000003,"",""
"",0.,0.28600000000000003,"",""
"",0.,0.6,"",""
"",-0.045000000000000005,2.717,"",""
"",0.,0.308,"",""
"",0.,0.372,"",""
"",-0.066,0.48000000000000004,"",""
"",0.,0.167,"",""
"",0.048,0.769,"",""
"",0.,2.5260000000000002,"",""
"",-0.07100000000000001,1.,"",""
"",0.,2.833,"",""
"",-0.024,4.,"",""
"",-0.04,1.9300000000000002,"",""
"",-0.045000000000000005,0.609,"",""
"",0.,1.0530000000000002,"",""
"",0.,1.111,"",""
"",0.,4.667,"",""
"",0.,3.077,"",""
"",0.,0.4,"",""
"",0.02,0.341,"",""
"",0.,2.983,"",""
"",0.,2.857,"",""
"",0.038,2.293,"",""
"",-0.078,4.,"",""
"",0.02,2.047,"",""
"",0.,2.095,"",""
"",0.,0.16,"",""
"",0.,1.429,"",""
"",0.,2.0140000000000002,"",""
"",0.,4.,"",""
"",-0.053000000000000005,1.111,"",""
"",0.,1.818,"",""
"",0.,0.638,"",""
"",0.068,0.8,"",""
"",0.021,3.556,"",""
"",-0.02,2.8240000000000003,"",""
"",0.02,3.818,"",""
"",0.1,2.886,"",""
"",0.,2.,"",""
"",0.02,0.11800000000000001,"",""
"",0.025,1.082,"",""
"",0.,0.667,"",""
"",0.,0.621,"",""
"",-0.064,2.24,"",""
"",0.024,0.308,"",""
"",0.,0.261,"",""
"",0.092,1.429,"",""
"",0.036000000000000004,0.234,"",""
"",0.,0.93,"",""
"",0.,0.299,"",""
"",0.,0.8570000000000001,"",""
